iter	Passed	Remaining
0	1	160
1	2	122
2	3	108
3	3	95
4	4	90
5	5	87
6	6	87
7	7	84
8	8	82
9	8	80
10	9	78
11	10	78
12	11	78
13	13	82
14	14	83
15	15	82
16	17	86
17	18	84
18	19	82
19	20	80
20	20	78
21	21	77
22	22	75
23	24	76
24	25	76
25	26	76
26	29	78
27	30	77
28	30	75
29	31	73
30	32	71
31	33	70
32	33	68
33	34	67
34	36	67
35	37	67
36	39	67
37	40	66
38	41	65
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	46	56
45	47	56
46	49	56
47	52	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	49
53	57	48
54	57	47
55	60	47
56	62	46
57	63	45
58	64	44
59	64	43
60	65	41
61	66	40
62	67	39
63	67	38
64	68	37
65	70	36
66	72	35
67	74	34
68	75	33
69	75	32
70	76	31
71	77	30
72	78	28
73	78	27
74	79	26
75	81	25
76	83	24
77	84	23
78	86	23
79	87	21
80	88	20
81	89	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	96	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	108	2
98	109	1
99	111	0
