iter	Passed	Remaining
0	138	138132
1	139	69426
2	140	46532
3	141	35135
4	144	28683
5	145	24096
6	146	20758
7	147	18261
8	148	16321
9	149	14761
10	150	13493
11	151	12442
12	152	11542
13	152	10774
14	153	10107
15	156	9601
16	157	9132
17	159	8682
18	160	8278
19	161	7904
20	162	7565
21	163	7267
22	164	6989
23	165	6728
24	166	6494
25	167	6274
26	168	6067
27	172	5985
28	173	5811
29	174	5643
30	175	5484
31	176	5333
32	177	5192
33	178	5058
34	178	4931
35	179	4812
36	180	4699
37	181	4593
38	182	4490
39	183	4414
40	186	4363
41	187	4284
42	188	4203
43	189	4126
44	190	4053
45	192	3983
46	193	3915
47	193	3847
48	194	3784
49	195	3720
50	196	3662
51	199	3631
52	201	3593
53	202	3543
54	203	3496
55	204	3451
56	205	3402
57	207	3365
58	208	3319
59	209	3276
60	210	3232
61	212	3217
62	214	3189
63	215	3157
64	217	3124
65	218	3089
66	219	3053
67	220	3020
68	221	2987
69	222	2954
70	223	2921
71	224	2889
72	225	2859
73	228	2857
74	230	2844
75	231	2817
76	232	2791
77	233	2763
78	234	2736
79	235	2709
80	236	2684
81	237	2659
82	238	2630
83	238	2605
84	239	2582
85	242	2574
86	244	2568
87	246	2552
88	247	2536
89	248	2516
90	250	2498
91	251	2477
92	251	2457
93	252	2436
94	253	2417
95	254	2398
96	257	2396
97	259	2388
98	260	2372
99	262	2361
100	263	2345
101	264	2328
102	265	2312
103	266	2297
104	267	2281
105	268	2265
106	269	2249
107	272	2250
108	274	2241
109	275	2231
110	277	2221
111	278	2207
112	279	2193
113	280	2179
114	281	2166
115	282	2156
116	283	2141
117	284	2127
118	287	2131
119	290	2128
120	291	2119
121	292	2108
122	294	2096
123	295	2085
124	296	2075
125	297	2064
126	298	2052
127	299	2041
128	302	2040
129	304	2034
130	305	2028
131	307	2019
132	308	2008
133	309	1997
134	310	1988
135	311	1979
136	312	1969
137	313	1958
138	314	1948
139	317	1950
140	320	1950
141	321	1941
142	322	1931
143	323	1921
144	324	1911
145	325	1901
146	326	1892
147	327	1883
148	328	1874
149	329	1865
150	330	1860
151	332	1854
152	333	1847
153	334	1839
154	335	1831
155	337	1823
156	338	1815
157	339	1806
158	340	1798
159	340	1790
160	341	1780
161	342	1772
162	343	1764
163	345	1761
164	347	1760
165	349	1754
166	350	1747
167	351	1741
168	352	1733
169	353	1726
170	354	1718
171	355	1710
172	356	1703
173	357	1696
174	358	1688
175	360	1686
176	361	1682
177	363	1678
178	364	1672
179	365	1666
180	366	1659
181	367	1653
182	368	1646
183	369	1640
184	370	1634
185	371	1627
186	372	1621
187	373	1614
188	376	1615
189	378	1612
190	379	1606
191	380	1600
192	381	1594
193	382	1587
194	382	1581
195	383	1575
196	384	1568
197	385	1562
198	386	1556
199	387	1551
200	390	1552
201	392	1548
202	393	1544
203	394	1539
204	395	1534
205	396	1528
206	397	1523
207	398	1518
208	399	1512
209	400	1506
210	401	1501
211	402	1495
212	403	1490
213	406	1494
214	408	1490
215	409	1484
216	409	1479
217	410	1474
218	411	1468
219	412	1463
220	413	1459
221	415	1454
222	416	1449
223	416	1444
224	417	1439
225	419	1437
226	421	1435
227	422	1431
228	423	1427
229	425	1423
230	426	1419
231	427	1415
232	428	1410
233	429	1405
234	430	1401
235	431	1396
236	432	1391
237	435	1394
238	437	1393
239	438	1390
240	439	1385
241	440	1381
242	441	1376
243	442	1371
244	443	1367
245	444	1362
246	445	1358
247	446	1353
248	447	1349
249	449	1348
250	450	1345
251	452	1344
252	454	1341
253	455	1337
254	456	1333
255	457	1330
256	458	1325
257	459	1321
258	460	1318
259	461	1314
260	462	1310
261	465	1310
262	468	1312
263	469	1310
264	471	1306
265	472	1302
266	473	1298
267	474	1295
268	475	1293
269	476	1289
270	479	1289
271	481	1288
272	483	1286
273	484	1283
274	485	1279
275	486	1275
276	487	1272
277	489	1270
278	490	1267
